Date,Below Treeline,Treeline,Above Treeline
2016-01-01,1,1,2
2016-01-02,1,1,1
2016-01-03,1,1,1
2016-01-04,1,1,2
2016-01-05,1,1,2
2016-01-06,1,1,2
2016-01-07,1,1,2
2016-01-08,1,1,1
2016-01-09,1,1,1
2016-01-10,1,1,1
2016-01-11,1,1,1
2016-01-12,3,3,4
2016-01-13,3,3,3
2016-01-14,2,3,3
2016-01-15,2,3,3
2016-01-16,3,3,3
2016-01-17,2,3,3
2016-01-18,2,3,3
2016-01-19,2,3,3
2016-01-20,3,3,3
2016-01-21,4,3,3
2016-01-22,2,3,4
2016-01-23,1,2,3
2016-01-24,1,2,2
2016-01-25,1,2,2
2016-01-26,2,3,3
2016-01-27,3,4,4
2016-01-28,3,4,4
2016-01-29,2,3,3
2016-01-30,1,2,3
2016-01-31,2,3,3
2016-02-01,1,2,2
2016-02-02,1,2,2
2016-02-03,1,2,2
2016-02-04,1,2,3
2016-02-05,2,3,3
2016-02-06,2,3,4
2016-02-07,2,3,3
2016-02-08,2,3,3
2016-02-09,3,3,3
2016-02-10,2,2,2
2016-02-11,1,2,2
2016-02-12,1,2,3
2016-02-13,1,2,2
2016-02-14,2,2,3
2016-02-15,1,2,3
2016-02-16,2,3,3
2016-02-17,1,3,3
2016-02-18,2,3,3
2016-02-19,2,3,4
2016-02-20,2,2,3
2016-02-21,1,2,2
2016-02-22,1,2,2
2016-02-23,1,2,2
2016-02-24,1,2,2
2016-02-25,1,1,2
2016-02-26,1,1,2
2016-02-27,1,1,2
2016-02-28,1,1,2
2016-02-29,1,2,2
2016-03-01,2,3,3
2016-03-02,2,3,3
2016-03-03,2,3,3
2016-03-04,2,3,3
2016-03-05,3,3,4
2016-03-06,2,3,3
2016-03-07,1,2,3
2016-03-08,2,3,3
2016-03-09,1,2,2
2016-03-10,3,4,4
2016-03-11,2,3,4
2016-03-12,2,3,4
2016-03-13,2,3,3
2016-03-14,2,2,3
2016-03-15,1,2,3
2016-03-16,1,2,3
2016-03-17,1,2,3
2016-03-18,1,2,2
2016-03-19,1,2,2
2016-03-20,1,2,2
2016-03-21,1,2,3
2016-03-22,1,2,2
2016-03-23,1,3,3
2016-03-24,2,3,3
2016-03-25,2,3,3
2016-03-26,1,2,3
2016-03-27,2,3,3
2016-03-28,1,2,3
2016-03-29,2,2,2
2016-03-30,2,2,2
2016-03-31,2,2,3
2016-04-01,2,2,3
2016-04-02,2,2,2
2016-04-03,1,1,2
2016-04-04,2,3,3
2016-04-05,1,2,3
2016-04-06,2,2,2
2016-04-07,2,3,3
2016-04-08,1,2,3
2016-04-09,1,2,3
2016-04-10,1,2,3
2016-04-11,1,2,3
2016-04-12,1,2,3
2016-04-13,1,2,3
2016-04-14,1,2,3
2016-04-15,1,2,3
2016-04-16,1,2,3
2016-04-17,1,2,3
2016-04-18,1,2,3
2016-04-19,1,2,3
2016-04-20,1,2,3
2016-04-21,1,2,3
2016-04-22,1,2,3
2016-04-23,1,2,3
2016-04-24,1,2,3
2016-04-25,1,2,3
2016-04-26,1,2,3
2016-04-27,1,2,3
2016-04-28,1,2,3
2016-04-29,1,2,3
2016-04-30,1,2,3
